,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned
0,3,0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,Medium
1,3,0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,Medium
2,1,0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,High
3,2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683265,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,Medium
4,2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,Medium
5,2,0,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,Medium
6,1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,Medium
7,1,0,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,Medium
8,1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,Medium
9,0,0,audi,gas,turbo,two,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,0.0,High
10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,Medium
11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,Medium
12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,Medium
13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,Medium
14,1,0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,Medium
15,0,0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,High
16,0,0,bmw,gas,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.9391424619640388,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,High
17,0,0,bmw,gas,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9806362378976488,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,High
18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8340248962655602,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,Low
19,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8796680497925312,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,Low
20,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.8796680497925312,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,Low
21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,Low
22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,Low
23,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,Medium
24,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,Low
25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,Low
26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,Low
27,1,148,dodge,gas,turbo,0,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,Medium
28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.8934993084370677,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,Medium
29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,High
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,Low
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,Medium
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,Low
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,Medium
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,Medium
35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.8852005532503459,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,Medium
36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.754925516578568,0.8838174273858921,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,Medium
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9017980636237899,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,Medium
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9017980636237899,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,Medium
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9017980636237899,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,Medium
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.8644536652835408,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,Medium
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.9017980636237899,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,Medium
42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.9128630705394192,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,Medium
43,0,0,isuzu,gas,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.8547717842323651,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,Medium
44,1,0,isuzu,gas,std,two,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,0.0,Low
45,0,0,isuzu,gas,std,four,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,0.0,Low
46,2,0,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9017980636237899,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,Medium
47,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,High
48,0,0,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,High
49,0,0,jaguar,gas,std,two,sedan,rwd,front,102.0,0.921191734742912,0.9764868603042877,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,
50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,Low
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,Low
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,Low
53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,Low
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,Low
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,49.6,2380,rotor,two,70,4bbl,0.0,0.0,9.4,101.0,6000.0,17,23,10945.0,Medium
56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,49.6,2380,rotor,two,70,4bbl,0.0,0.0,9.4,101.0,6000.0,17,23,11845.0,Medium
57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,49.6,2385,rotor,two,70,4bbl,0.0,0.0,9.4,101.0,6000.0,17,23,13645.0,Medium
58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,49.6,2500,rotor,two,80,mpfi,0.0,0.0,9.4,135.0,6000.0,16,23,15645.0,Medium
59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616875,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,Medium
60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616875,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,Medium
61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616875,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,Medium
62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616875,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,Medium
63,0,0,mazda,diesel,std,0,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616875,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,Low
64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616875,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,Medium
65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038727,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,Medium
66,0,0,mazda,diesel,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038727,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,Low
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.9723374827109267,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,Medium
68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.9723374827109267,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,Medium
69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9723374827109267,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,Medium
70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.9735703988467083,0.991701244813278,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,Medium
71,-1,0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.9735703988467083,0.991701244813278,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,High
72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.9751037344398341,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,High
73,0,0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,0.991701244813278,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,High
74,1,0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.9572320999519461,0.995850622406639,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,High
75,1,0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.9405255878284924,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,High
76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,Low
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,Low
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,Low
79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8824343015214384,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,Medium
80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,Medium
81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,Medium
82,3,0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,High
83,3,0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,High
84,3,0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,High
85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,Medium
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,Medium
87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,Medium
88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,Medium
89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,Low
90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,Low
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,Low
92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,Low
93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,Low
94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,Low
95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8824343015214384,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,Low
96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,Low
97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,Low
98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8824343015214384,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,Low
99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.9017980636237899,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,Medium
100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.9017980636237899,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,Medium
101,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.8731379144641999,0.9197786998616875,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,High
